value	carat	price
22784.19995	251	431
22832.19995	251	432
22849.19995	251	434
22866.19995	251	437
22882.19995	251	438
22901.19995	251	439
22924.19995	251	440
23215.19995	253	440
23232.19995	267	441
23248.19995	290	449
23266.19995	312	459
23284.19995	338	469
23298.19995	366	482
23315.19995	391	496
23332.19995	412	508
23348.19995	436	522
23365.19995	457	534
23382.19995	479	546
23399.19995	503	554
23416.19995	520	559
23431.19995	531	560
23448.19995	532	560
23465.19995	533	560
23482.19995	532	560
23498.19995	529	558
23515.19995	522	555
23532.19995	508	550
23549.19995	494	547
23566.19995	476	543
23582.19995	459	540
23598.19995	439	538
23616.19995	433	537
23632.19995	424	533
23649.19995	423	533
23683.19995	426	533
23699.19995	441	531
23716.19995	455	530
23732.19995	468	529
23749.19995	484	528
23765.19995	509	525
23782.19995	530	523
23798.19995	552	523
23816.19995	575	523
23832.19995	597	523
23849.19995	619	525
23867.19995	641	529
23884.19995	658	531
23903.19995	671	533
23915.19995	677	534
23933.19995	686	535
23949.19995	689	536
24048.19995	691	536
24065.19995	692	536
24083.19995	695	536
24098.19995	696	536
24115.19995	697	536
24199.19995	698	536
24215.19995	699	537
24234.19995	700	539
24249.19995	701	539
24265.19995	707	545
24281.19995	714	557
24298.19995	717	572
24315.19995	719	590
24382.19995	711	588
24398.19995	707	585
24565.19995	705	584
24582.19995	702	582
24599.19995	699	580
24616.19995	697	579
24715.19995	698	579
24749.19995	700	582
24765.19995	705	587
24781.19995	707	589
24798.19995	713	597
24816.19995	719	604
24832.19995	721	606
24849.19995	725	610
24865.19995	732	619
24882.19995	737	625
24899.19995	738	626
24916.19995	739	628
25081.19995	740	628
25148.19995	740	626
25166.19995	737	620
25182.19995	735	619
25198.19995	731	614
25415.19995	730	614
25450.19995	731	613
25469.19995	732	613
25515.19995	733	612
25532.19995	733	611
25549.19995	735	610
25582.19995	736	609
25665.19995	736	609
25781.19995	735	609
25799.19995	733	609
25816.19995	732	608
25883.19995	731	609
25898.19995	730	609
25915.19995	728	620
25931.19995	726	633
25948.19995	724	649
25966.19995	724	662
25984.19995	723	676
26006.19995	723	689
26017.19995	723	691
26037.19995	724	695
26061.19995	725	697
26098.19995	725	698
26115.19995	726	698
26249.19995	726	700
26266.19995	725	710
26282.19995	722	724
26298.19995	719	748
26315.19995	719	767
26331.19995	719	781
26349.19995	718	789
26366.19995	718	795
26382.19995	718	802
26399.19995	720	813
26415.19995	726	822
26432.19995	729	827
26448.19995	729	830
26465.19995	730	831
26482.19995	731	834
26498.19995	732	836
26515.19995	733	838
26532.19995	735	841
26548.19995	735	844
26567.19995	736	846
26583.19995	736	848
26599.19995	736	849
26615.19995	736	850
26633.19995	736	851
26648.19995	736	854
26849.19995	736	853
26865.19995	736	851
26883.19995	736	850
26899.19995	736	849
26917.19995	736	848
26935.19995	736	846
26966.19995	736	845
27048.19995	736	844
27132.19995	736	843
27165.19995	736	842
27182.19995	737	840
27199.19995	737	839
27215.19995	737	835
27232.19995	739	825
27248.19995	739	815
27266.19995	739	807
27283.19995	739	793
27299.19995	739	777
27315.19995	740	758
27332.19995	741	733
27349.19995	741	717
27366.19995	741	707
27382.19995	741	703
27398.19995	741	701
27415.19995	741	699
27432.19995	741	699
27649.19995	742	698
27666.19995	744	697
27682.19995	747	694
27698.19995	748	693
27715.19995	749	691
27732.19995	751	690
27749.19995	752	689
27767.19995	753	689
27784.19995	754	689
27799.19995	754	688
27915.19995	755	688
28015.19995	756	687
28032.19995	757	684
28050.19995	758	682
28065.19995	759	679
28082.19995	762	673
28099.19995	766	662
28116.19995	770	652
28132.19995	771	649
28149.19995	771	647
28165.19995	773	642
28182.19995	775	639
28199.19995	777	636
28215.19995	779	630
28231.19995	781	625
28248.19995	782	623
28266.19995	782	622
28299.19995	782	621
28315.19995	783	620
28416.19995	784	619
28432.19995	785	618
28449.19995	786	617
28632.19995	786	616
28649.19995	787	615
28665.19995	788	614
29115.19995	789	613
29135.19995	789	610
29154.19995	790	609
29232.19995	790	609
29333.19995	790	607
29348.19995	792	602
29365.19995	794	598
29382.19995	794	594
29398.19995	795	590
29415.19995	796	588
29433.19995	798	584
29448.19995	799	579
29465.19995	802	572
29482.19995	804	567
29498.19995	805	563
29632.19995	806	561
29648.19995	807	559
29665.19995	807	559
29682.19995	808	557
29699.19995	809	557
29717.19995	809	556
29734.19995	809	555
29752.19995	811	553
30315.19995	810	552
30332.19995	806	551
30349.19995	805	551
30365.19995	801	549
30382.19995	799	546
30399.19995	798	543
30416.19995	793	534
30432.19995	790	528
30449.19995	786	512
30465.19995	781	500
30482.19995	776	487
30499.19995	772	473
30515.19995	766	459
30533.19995	761	445
30553.19995	759	434
30575.19995	757	429
30898.19995	757	428
30932.19995	757	427
30948.19995	757	426
30965.19995	757	423
30983.19995	756	419
31000.19995	755	418
31015.19995	754	416
31034.19995	752	414
31049.19995	751	412
31082.19995	751	411
31131.19995	750	411
31148.19995	750	410
31166.19995	749	409
31183.19995	748	408
31199.19995	746	407
31249.19995	746	406
31266.19995	745	406
31299.19995	744	405
31315.19995	743	405
31332.19995	743	404
31966.19995	742	404
32131.19995	741	404
32165.19995	740	404
32182.19995	739	404
32198.19995	739	404
32215.19995	737	404
32231.19995	736	404
32466.19995	734	404
32482.19995	732	405
32500.19995	723	405
32515.19995	705	405
32532.19995	687	405
32549.19995	662	405
32565.19995	644	404
32582.19995	627	404
32598.19995	610	404
32615.19995	595	403
32632.19995	582	403
32649.19995	576	403
32664.19995	575	403
32832.19995	576	403
32881.19995	577	403
32898.19995	578	402
32933.19995	578	401
32982.19995	575	400
32999.19995	574	398
33032.19995	572	395
33049.19995	569	392
33066.19995	568	391
33082.19995	559	388
33099.19995	551	386
33115.19995	541	385
33132.19995	524	383
33149.19995	510	382
33164.19995	498	382
33182.19995	491	381
33199.19995	485	380
33215.19995	480	380
33231.19995	476	379
33249.19995	471	379
33266.19995	466	378
33284.19995	465	378
33303.19995	462	376
33316.19995	460	375
33332.19995	457	373
33349.19995	453	370
33366.19995	449	367
33382.19995	443	362
33398.19995	440	360
33416.19995	437	357
33432.19995	435	355
33482.19995	435	354
33515.19995	435	353
33682.19995	435	352
33699.19995	435	351
33715.19995	438	349
33734.19995	440	345
33766.19995	441	344
33800.19995	441	343
33815.19995	441	341
33832.19995	441	340
33915.19995	441	339
33950.19995	441	337
33983.19995	441	336
35199.19995	441	337
35216.19995	440	348
35232.19995	439	360
35249.19995	439	373
35266.19995	439	385
35281.19995	441	394
35300.19995	443	402
35319.19995	444	404
35332.19995	445	407
35350.19995	446	407
35643.19995	446	409
35665.19995	446	413
35673.19995	446	415
35686.19995	446	419
35723.19995	446	427
35729.19995	446	431
35748.19995	446	434
35766.19995	446	437
35782.19995	447	439
35800.19995	447	440
35949.19995	448	441
35966.19995	449	442
35983.19995	451	446
35999.19995	453	448
36015.19995	457	453
36033.19995	459	457
36048.19995	463	460
36066.19995	467	466
36082.19995	469	470
36099.19995	470	472
36116.19995	471	475
36131.19995	472	476
36148.19995	472	479
36166.19995	473	481
36183.19995	473	482
36199.19995	473	489
36215.19995	473	496
36232.19995	473	501
36249.19995	473	515
36265.19995	473	533
36281.19995	473	553
36299.19995	474	579
36315.19995	479	611
36335.19995	481	644
36348.19995	483	657
36379.19995	483	664
36416.19995	482	664
36432.19995	479	664
36449.19995	478	664
36465.19995	476	664
36599.19995	476	663
36616.19995	475	663
36632.19995	472	660
36649.19995	470	659
36665.19995	469	657
36683.19995	468	654
36699.19995	467	652
36716.19995	467	649
36732.19995	467	646
36765.19995	467	645
36782.19995	468	644
36815.19995	469	643
