x,y,value
1437,373,40828.80005
1432,384,40845.80005
1430,391,40862.80005
1422,409,40878.80005
1420,416,40895.80005
1418,421,40911.80005
1417,425,40928.80005
1416,428,40945.80005
1416,427,41012.80005
1416,422,41029.80005
1418,414,41045.80005
1422,402,41062.80005
1425,394,41078.80005
1428,383,41096.80005
1429,377,41111.80005
1429,376,41129.80005
1432,373,41145.80005
1436,371,41161.80005
1442,370,41178.80005
1457,366,41195.80005
1471,363,41212.80005
1489,360,41229.80005
1511,357,41245.80005
1534,355,41261.80005
1560,352,41278.80005
1578,349,41295.80005
1591,345,41311.80005
1602,341,41329.80005
1608,337,41345.80005
1613,334,41362.80005
1614,333,41378.80005
1615,332,41394.80005
1614,332,41446.80005
1609,331,41461.80005
1599,328,41478.80005
1578,322,41495.80005
1558,317,41512.80005
1536,311,41528.80005
1514,302,41544.80005
1496,294,41561.80005
1483,288,41577.80005
1470,281,41595.80005
1459,277,41615.80005
1456,276,41634.80005
1452,275,41646.80005
1450,275,41662.80005
1446,275,41679.80005
1441,275,41695.80005
1435,275,41712.80005
1423,275,41728.80005
1412,275,41746.80005
1402,275,41765.80005
1400,275,41783.80005
1399,275,41796.80005
1398,275,41896.80005
1397,275,41911.80005
1388,278,41929.80005
1370,288,41945.80005
1351,298,41962.80005
1328,310,41978.80005
1294,328,41995.80005
1256,345,42014.80005
1197,366,42035.80005
1162,375,42045.80005
1122,382,42062.80005
1083,386,42079.80005
1058,387,42095.80005
1035,387,42112.80005
1010,386,42129.80005
984,382,42145.80005
961,378,42162.80005
950,374,42178.80005
947,372,42195.80005
946,368,42212.80005
959,362,42228.80005
978,360,42244.80005
998,360,42263.80005
1000,360,42328.80005
1015,363,42346.80005
1028,368,42361.80005
1033,369,42378.80005
1030,369,42429.80005
1014,369,42444.80005
999,367,42462.80005
988,365,42481.80005
961,362,42500.80005
944,362,42512.80005
919,362,42529.80005
889,362,42545.80005
